image_id,edit_id,seed,family,outlier_type,reason,changed_pixel_ratio,mask_area_ratio,visible_change_ratio,connected_components,largest_component_ratio_lower_bound,image_level_changed_pixel_ratio,image_level_largest_component_ratio
257,seed42_edit01,42,C_elongated_ribbon,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.0034716796875,0.00336669921875,0.5518207282913166,31,0.0001086032006048387,0.0132421875,0.004697265625
258,seed42_edit00,42,C_elongated_ribbon,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.0057177734375,0.00553466796875,0.44407443682664055,141,3.9252964317375886e-05,0.00875244140625,0.00429443359375
261,seed42_edit00,42,D_irregular_boundary,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.0369921875,0.03680419921875,0.589189400453373,197,0.00018682334628807108,0.07528564453125,0.04132568359375
273,seed42_edit01,42,D_irregular_boundary,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.06519775390625,0.06462158203125,0.7143743927453309,105,0.0006154436383928572,0.14817626953125,0.14237548828125
275,seed42_edit00,42,B_diffuse_texture,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.04864501953125,0.04864013671875,0.7357905233223769,26,0.0018707744891826921,0.0633837890625,0.061689453125
288,seed42_edit00,42,C_elongated_ribbon,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.00772216796875,0.00771728515625,0.48414764895083473,72,0.00010718451605902778,0.0120654296875,0.0098095703125
289,seed42_edit02,42,C_elongated_ribbon,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.0066015625,0.00656494140625,0.6246225319396052,24,0.00027353922526041665,0.06782958984375,0.0490087890625
29,seed42_edit00,42,C_elongated_ribbon,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.00175537109375,0.0017431640625,0.26631853785900783,65,2.6817908653846153e-05,0.00515869140625,0.0020947265625
291,seed42_edit02,42,C_elongated_ribbon,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.008466796875,0.0084228515625,0.46817750033925903,56,0.00015040806361607144,0.057470703125,0.038076171875
3,seed42_edit02,42,D_irregular_boundary,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.03404052734375,0.03345703125,0.758258175178443,34,0.0009840303308823529,0.045029296875,0.03898681640625
300,seed42_edit00,42,D_irregular_boundary,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.04868408203125,0.04852294921875,0.6171018722637935,107,0.0004534855067172897,0.05987060546875,0.05728759765625
303,seed42_edit00,42,C_elongated_ribbon,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.0070751953125,0.00702880859375,0.6026795059660875,22,0.0003194912997159091,0.0097216796875,0.00875
304,seed42_edit01,42,C_elongated_ribbon,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.01118896484375,0.011162109375,0.5852534562211982,73,0.00015290560787671232,0.12529052734375,0.1080322265625
307,seed42_edit00,42,D_irregular_boundary,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.06947509765625,0.0689111328125,0.706197302909755,63,0.0010938275049603174,0.0833154296875,0.07847412109375
314,seed42_edit00,42,C_elongated_ribbon,NOISE_PATTERN_CANDIDATE,fragmented_refined_mask,0.00725341796875,0.00723876953125,0.5428414500183083,37,0.0001956424197635135,0.01529052734375,0.0094189453125
