image_stem,seed,edit_index,family,attempt,reasons,mask_area_ratio,bbox_xyxy,bbox_aspect_ratio,relative_bbox_width,relative_bbox_height,perimeter,compactness,connected_components,largest_component_ratio,largest_component_ratio_lower_bound,skeleton_length,elongation_score,boundary_score
50,0,1,D_boundary_evolution,1,D_COMPONENT_COUNT,0.00789306640625,"[236, 322, 457, 472]",1.4701986754966887,0.346875,0.2359375,1462.0,0.019007317242567854,3,0.9993813795236622,0.9993813795236622,687,1.4040786639848133,0.45221156820290753
50,0,1,D_boundary_evolution,2,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00508544921875,"[34, 301, 263, 433]",1.7293233082706767,0.359375,0.2078125,1440.0,0.012623336221889542,18,0.457513202112338,0.457513202112338,780,1.6032449042299244,0.6913106096975516
503,0,0,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.0023681640625,"[110, 538, 271, 597]",2.7,0.253125,0.09375,732.0,0.022748849428036812,10,0.3247422680412371,0.3247422680412371,409,2.8388096878497087,0.7546391752577319
503,0,2,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00587646484375,"[44, 355, 268, 440]",2.616279069767442,0.3515625,0.134375,1219.0,0.020355348537924298,9,0.6506024096385542,0.6506024096385542,643,2.3980180136607117,0.506439551308683
503,0,2,D_boundary_evolution,2,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00450439453125,"[61, 27, 299, 122]",2.4895833333333335,0.3734375,0.15,1211.0,0.015809493204320072,23,0.43794037940379404,0.43794037940379404,642,2.4489673420568367,0.6563685636856369
505,0,0,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00424072265625,"[129, 397, 307, 539]",1.2517482517482517,0.2796875,0.2234375,1182.0,0.015623370407452654,9,0.47783534830166957,0.47783534830166957,568,1.3820423545419946,0.6804835924006909
54,0,1,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00439697265625,"[6, 269, 252, 358]",2.7444444444444445,0.3859375,0.140625,1259.0,0.014278155801792381,6,0.7523598001110494,0.7523598001110494,749,2.687381856217715,0.6990560799555803
54,0,1,D_boundary_evolution,2,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.004453125,"[477, 465, 622, 569]",1.3904761904761904,0.228125,0.1640625,1083.0,0.01954239489038701,6,0.4161184210526316,0.4161184210526316,548,1.266494909541876,0.59375
547,0,0,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00349853515625,"[168, 284, 273, 362]",1.3417721518987342,0.165625,0.1234375,746.0,0.032357756273632195,2,0.933705512909979,0.933705512909979,380,1.2131829603741602,0.520586182833217
573,0,1,D_boundary_evolution,1,D_COMPONENT_COUNT,0.00647705078125,"[393, 372, 560, 498]",1.3228346456692914,0.2625,0.1984375,1258.0,0.021066181993205257,2,0.9920844327176781,0.9920844327176781,625,1.2532932960722845,0.4741801733886167
