epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
90,578.295,1.41794,2.57215,1.67239,1.41899,0,0.64122,0.51942,0.56634,0.31292,0.7349,0.4187,0.4974,0.28219,1.78901,2.94536,1.77577,1.60972,0,0.001189,0.001189,0.001189
91,585.795,1.46553,2.571,1.84331,1.51771,0,0.66408,0.53612,0.57356,0.32031,0.70838,0.41863,0.50116,0.29083,1.79579,2.90968,1.78191,1.60349,0,0.00109,0.00109,0.00109
92,591.985,1.44174,2.49473,1.76576,1.51192,0,0.7112,0.51438,0.56226,0.31497,0.67247,0.44539,0.48922,0.27495,1.78202,2.91159,1.82009,1.61837,0,0.000991,0.000991,0.000991
93,597.892,1.3925,2.48649,1.68106,1.46865,0,0.59329,0.53602,0.56515,0.31382,0.66848,0.44253,0.49044,0.27629,1.79098,2.9428,1.74874,1.65717,0,0.000892,0.000892,0.000892
94,603.759,1.3922,2.44323,1.6398,1.46839,0,0.70481,0.54691,0.57844,0.32279,0.6567,0.48758,0.50186,0.28444,1.80426,2.90976,1.74253,1.6636,0,0.000793,0.000793,0.000793
95,609.833,1.37956,2.43467,1.58575,1.45997,0,0.65341,0.56989,0.61399,0.3335,0.70126,0.44976,0.51216,0.28803,1.79823,2.8921,1.72925,1.6552,0,0.000694,0.000694,0.000694
96,615.893,1.3505,2.37405,1.5501,1.42504,0,0.72326,0.57255,0.59736,0.31594,0.65055,0.49583,0.50582,0.2825,1.79759,2.89162,1.72132,1.64661,0,0.000595,0.000595,0.000595
97,622.322,1.37139,2.38764,1.57416,1.42223,0,0.73329,0.55014,0.59588,0.33457,0.67294,0.49165,0.52522,0.29279,1.79315,2.86894,1.7167,1.65661,0,0.000496,0.000496,0.000496
98,628.264,1.34846,2.36172,1.57238,1.44219,0,0.69974,0.56965,0.60119,0.34102,0.63322,0.49919,0.52438,0.29549,1.77882,2.86673,1.69861,1.63539,0,0.000397,0.000397,0.000397
99,634.191,1.36375,2.37765,1.57824,1.444,0,0.69233,0.5813,0.59313,0.3377,0.66309,0.52253,0.53357,0.29924,1.76045,2.86689,1.69514,1.62994,0,0.000298,0.000298,0.000298
100,640.135,1.33242,2.37123,1.54303,1.42779,0,0.6774,0.57539,0.59375,0.33849,0.62113,0.51218,0.52425,0.29278,1.7467,2.84032,1.68529,1.63763,0,0.000199,0.000199,0.000199
